image,class
augmented_#0_000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,7
augmented_#1_000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,7
augmented_#2_000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,7
augmented_#3_000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,7
augmented_#4_000000_jpg.rf.b11f308f16626f9f795a148029c46d10.jpg,7
augmented_#0_000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,7
augmented_#1_000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,7
augmented_#2_000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,7
augmented_#3_000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,7
augmented_#4_000009_jpg.rf.df4118d1d26fa7a25923521216cc2f64.jpg,7
augmented_#0_00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,6
augmented_#1_00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,6
augmented_#2_00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,6
augmented_#3_00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,6
augmented_#4_00000_00000_00001_png.rf.8bc8cc5e727cfd7e81b5184a15dd6fc1.jpg,6
augmented_#0_00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,6
augmented_#1_00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,6
augmented_#2_00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,6
augmented_#3_00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,6
augmented_#4_00000_00000_00005_png.rf.998f471ba534c1f2ccafdafcd63c12a4.jpg,6
augmented_#0_00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,6
augmented_#1_00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,6
augmented_#2_00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,6
augmented_#3_00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,6
augmented_#4_00000_00000_00009_png.rf.7a7e4b7c3ed71a74def7182676a7bba1.jpg,6
augmented_#0_00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,6
augmented_#1_00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,6
augmented_#2_00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,6
augmented_#3_00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,6
augmented_#4_00000_00000_00012_png.rf.23f94508dba03ef2f8bd187da2ec9c26.jpg,6
augmented_#0_00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,6
augmented_#1_00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,6
augmented_#2_00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,6
augmented_#3_00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,6
augmented_#4_00000_00000_00014_png.rf.7d57503dd238ed8505b030e26b99b346.jpg,6
augmented_#0_00000_00000_00018_png.rf.67d0434cb6088b197afa648c7f87aea6.jpg,6
